subjid	cond	ssvep	smr
1	stand	68.67	69.7
2	stand	54.89	70.69
3	stand	45.48	67.21
4	stand	85.49	57.89
5	stand	45.31	53.47
6	stand	66.74	37.96
7	stand	51.96	45.74
8	stand	57.56	71.76
9	stand	53.4	89.78
1	multi	74.66	66.67
2	multi	48.48	70.91
3	multi	56.85	62.07
4	multi	79.75	38.13
5	multi	33.8	41.59
6	multi	70.04	35.55
7	multi	57.14	30.7
8	multi	57.41	67.57
9	multi	37.66	75.38
1	stand	69.841	72.66
2	stand	54.31	65.83
3	stand	45.41	59.83
4	stand	85.47	53.85
5	stand	68.98	45.36
6	stand	69.2	37.82
7	stand	56.89	39.5
8	stand	44.44	49.21
9	stand	32.36	70.68
1	multi	75.336	73.23
2	multi	45.83	70.25
3	multi	60.558	71.17
4	multi	84.18	36.62
5	multi	51.77	36.28
6	multi	68.58	53.39
7	multi	57.28	26.32
8	multi	51.34	69.6
9	multi	27.47	63.71
1	stand	72.48	84.21
2	stand	56.51	74.81
3	stand	47.54	50.77
4	stand	88.4	43.75
5	stand	51.12	58.65
6	stand	73.76	37.69
7	stand	50	28.7
8	stand	50.99	64.29
9	stand	45.92	62.31
1	multi	73.42	77.95
2	multi	45	77.27
3	multi	56.69	61.86
4	multi	78.92	29.32
5	multi	54.91	56.7
6	multi	73.01	34.4
7	multi	50.2	37.26
8	multi	52.52	52.54
9	multi	30.72	66.67
