subjid	cond	ssvepaccsmrhit	ssvepsmrabort	ssvepaccsmrmiss
1	cong	0.833333333	1	1
1	cong	0.818948413	0.928571429	0.714285714
1	cong	0.694047619	0.714285714	0.694047619
2	cong	0.485714286	0.651041667	0.791666667
2	cong	0.628819444	0.670833333	0.75
2	cong	0.7875	0.506123737	0.428571429
3	cong	0.708333333	0.713827839	0.533333333
3	cong	0.632653061	0.5	0.635416667
3	cong	0.416666667	0.695238095	0.416666667
4	cong	0.416666667	0.5	0.3875
4	cong	0.619047619	0.495833333	0.65
4	cong	0.588541667	0.716053391	0.5
5	cong	0.833333333	0.966666667	0.879761905
5	cong	0.75	0.833333333	0.797916667
5	cong	0.763888889	0.833333333	0.833333333
6	cong	0.479545455	0.621875	0.854166667
6	cong	0.543367347	0.720833333	0.291666667
6	cong	0.450892857	0.633333333	0.586111111
7	cong	0.222222222	0.285714286	0.357142857
7	cong	0.169791667	0.404761905	0.214285714
7	cong	0.25	0.266326531	0.333333333
8	cong	0.780952381	0.715407509	0.841666667
8	cong	0.774829932	0.657589286	0.708333333
8	cong	0.891666667	0.635416667	0.80109127
9	cong	0.451785714	0.595726496	0.642857143
9	cong	0.546875	0.8125	0.547619048
9	cong	0.480654762	0.642857143	0.466666667
1	noncong	0.573214286	0.541666667	0.583333333
1	noncong	0.668587662	0.404761905	0.572916667
1	noncong	0.68125	0.572916667	0.68125
2	noncong	0.297321429	0.671130952	0.604166667
2	noncong	0.475694444	0.583333333	0.275
2	noncong	0.4625	0.546049784	0.40625
3	noncong	0.111111111	0.521428571	0.319047619
3	noncong	0.142857143	0.542460317	0.259970238
3	noncong	0.15625	0.341609977	0.15625
4	noncong	0.270408163	0.390029762	0.130357143
4	noncong	0.291666667	0.432738095	0.413888889
4	noncong	0.480952381	0.438354701	0.221875
5	noncong	0.253125	0.75	0.470238095
5	noncong	0.463095238	0.666666667	0.515489719
5	noncong	0.3875	0.806818182	0.463144841
6	noncong	0.478030303	0.51875	0.49375
6	noncong	0.411458333	0.354166667	0.34375
6	noncong	0.541666667	0.487362637	0.387755102
7	noncong	0.126360544	0.375	0.361111111
7	noncong	0.154166667	0.278181818	0.25
7	noncong	0.010416667	0.208333333	0.202380952
8	noncong	0.291666667	0.607823129	0.442559524
8	noncong	0.492609127	0.629464286	0.442176871
8	noncong	0.597916667	0.712301587	0.6
9	noncong	0.358035714	0.398886827	0.429166667
9	noncong	0.24077381	0.375	0.195238095
9	noncong	0.330505952	0.319047619	0.285714286
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
