subjid	cond	correctssvep	incorrectssvep	smr	center
1	standard	78.0914	14.849775	2.048925	4.999125
1	standard	77.887525	15.55785	2.1694	4.355125
1	standard	76.286025	15.41065	2.742125	5.5327
2	standard	73.279125	16.130175	4.444225	6.105675
2	standard	74.138375	13.6155	6.23285	5.98655
2	standard	79.34205	12.56105	3.086325	4.9903
3	standard	40.460925	16.10465	3.979775	39.4546
3	standard	26.063075	14.874225	7.83585	51.02845
3	standard	39.2986	16.1986	11.28135	33.064525
4	standard	58.170175	14.8327	6.54505	20.4289
4	standard	47.141825	13.619075	10.907275	28.278425
4	standard	22.761225	18.7435	23.337275	35.158
5	standard	77.148525	14.90755	2.725525	5.215125
5	standard	77.162925	14.26515	3.697075	4.871575
5	standard	77.91385	14.75355	2.7901	4.54135
6	standard	77.66805	17.245	3.229225	1.844225
6	standard	80.2578	12.9335	2.025375	4.76515
6	standard	77.8409	14.071075	2.815775	5.2673
7	standard	48.66265	14.886275	8.479	27.96645
7	standard	39.080425	13.1291	30.774025	16.99465
7	standard	53.025325	14.8622	8.243025	23.804825
8	standard	76.920425	17.038575	2.1625	3.836025
8	standard	77.237475	16.029075	1.045125	5.683
8	standard	79.992475	14.342725	1.163575	4.4916
1	multi	66.19365	16.831125	6.626225	10.29545
1	multi	75.16975	14.10825	3.214	7.5061
1	multi	75.701075	13.797925	2.003325	8.497725
2	multi	65.824375	14.1021	15.446275	4.5407
2	multi	71.68265	12.24735	10.207	5.851975
2	multi	69.134625	13.82575	10.3741	6.59165
3	multi	38.36225	17.08315	7.527825	36.984825
3	multi	36.545925	15.0606	13.842175	34.51895
3	multi	62.667525	17.06245	9.655225	10.550675
4	multi	20.72365	13.9185	39.406425	25.336525
4	multi	57.638275	16.553725	17.22955	8.305675
4	multi	47.9991	15.85825	28.347375	7.7696
5	multi	71.8445	13.701375	3.537475	10.8917
5	multi	68.75855	12.793275	6.02765	12.412975
5	multi	71.894375	15.23395	2.20035	10.645075
6	multi	75.441775	18.250125	3.30605	2.996575
6	multi	76.076	14.626025	2.7395	6.5309
6	multi	72.140625	15.0877	5.26035	7.488525
7	multi	13.684125	5.866275	18.7914	61.30035
7	multi	7.561675	7.6204	60.546275	24.025475
7	multi	13.25745	6.0941	32.1442	48.5008
8	multi	77.230075	13.679025	1.562525	7.51195
8	multi	73.6784	12.787975	1.17925	12.348
8	multi	74.93225	11.8255	1.75955	11.475675
