subjid	cond	pair	correctssvep	incorrectssvep	smr	center
1	smrhit	1	69.007575	17.58385	2.70635	10.7023
1	smrhit	1	72.540925	16.06125	2.86965	8.5205
1	smrhit	1	75.15	11.851425	2.264625	10.734
2	smrhit	1	65.998175	12.837425	13.886425	7.220125
2	smrhit	1	71.198575	11.707725	10.136825	6.947625
2	smrhit	1	65.719325	15.5532	10.690875	7.910025
3	smrhit	1	38.53425	13.79175	5.02435	42.649625
3	smrhit	1	23.366775	10.328	19.151325	47.153875
3	smrhit	1	45.877225	19.60855	8.148525	26.318375
4	smrhit	1	20.476	18.385725	39.6857	21.1894
4	smrhit	1	42.968425	20.3957	23.319075	12.578325
4	smrhit	1	45.29495	13.55055	31.46895	9.6856
5	smrhit	1	63.1576	19.636325	1.99965	15.189075
5	smrhit	1	65.583625	12.584975	5.614375	16.217
5	smrhit	1	67.621425	18.005125	2.1521	12.1693
6	smrhit	1	77.862325	15.4072	3.900475	2.82405
6	smrhit	1	5.73555	63.01195	1.804225	4.43655
6	smrhit	1	3.229775	61.401875	4.5631	5.75615
7	smrhit	1	11.1893	3.74485	27.4388	57.627075
7	smrhit	1	2.5996	2.63935	69.23855	25.326375
7	smrhit	1	3.121325	5.39165	31.7123	59.77465
8	smrhit	1	76.2275	12.64905	2.279	8.82315
8	smrhit	1	70.621275	11.863175	1.482125	16.02435
8	smrhit	1	73.833825	9.256275	1.669975	15.232125
1	smrabort	2	76.7825	15.003	2.5273	5.68135
1	smrabort	2	76.189625	14.658625	2.167925	6.98385
1	smrabort	2	78.5828	13.444825	1.77815	6.194225
2	smrabort	2	67.08505	14.065975	15.318625	3.376475
2	smrabort	2	74.312575	11.6879	9.57835	4.4094
2	smrabort	2	69.999775	11.855175	11.615025	6.460875
3	smrabort	2	37.6011	10.98475	11.724725	39.647425
3	smrabort	2	39.3565	11.01755	9.2515	40.3745
3	smrabort	2	63.742025	14.0654	11.445975	10.710775
4	smrabort	2	33.928775	17.4037	29.64795	18.02585
4	smrabort	2	64.9194	16.136325	14.72355	4.048575
4	smrabort	2	50.7605	15.329425	28.908775	4.97915
5	smrabort	2	77.02495	12.973875	3.333825	6.5851
5	smrabort	2	75.6191	14.31455	3.386225	6.6672
5	smrabort	2	80.38345	8.916325	1.67625	9.0028
6	smrabort	2	76.200425	16.6424	3.37255	3.784625
6	smrabort	2	76.5517	14.003725	2.42595	6.980325
6	smrabort	2	74.148625	14.901725	4.778775	6.166475
7	smrabort	2	14.49435	7.348675	14.350825	63.7932
7	smrabort	2	9.31815	5.48375	57.821675	27.11535
7	smrabort	2	17.025925	4.0017	34.281325	44.67935
8	smrabort	2	77.84695	12.244225	1.333725	8.547525
8	smrabort	2	77.71825	14.3349	1.11915	6.827725
8	smrabort	2	78.1452	11.322025	1.735225	8.789675
1	smrmiss	3	71.33635	14.406225	2.0224	12.23505
1	smrmiss	3	69.3579	18.28315	2.505475	9.795025
1	smrmiss	3	62.5774	25.089125	1.360875	10.97255
2	smrmiss	3	60.169	14.63745	16.1569	8.918375
2	smrmiss	3	67.43355	16.255875	10.0116	6.23315
2	smrmiss	3	62.1934	17.89745	11.855075	8.013575
3	smrmiss	3	32.8054	15.0884	9.9717	41.98525
3	smrmiss	3	31.81525	10.6082	19.63235	37.909575
3	smrmiss	3	55.0339	15.170325	13.721325	15.899775
4	smrmiss	3	25.0729	8.916275	31.0779	34.768175
4	smrmiss	3	50.790725	13.01795	26.957825	9.045725
4	smrmiss	3	41.39645	12.125275	37.369075	9.109275
5	smrmiss	3	69.580975	15.66515	3.206475	11.5242
5	smrmiss	3	69.5193	10.350625	6.586075	13.52625
5	smrmiss	3	73.0331	13.3942	1.9867	11.575425
6	smrmiss	3	75.174275	21.106775	2.0271	1.6638
6	smrmiss	3	73.039975	15.3387	4.255875	7.3654
6	smrmiss	3	71.5942	12.90275	4.015325	11.4648
7	smrmiss	3	15.196475	5.813275	22.80835	56.181875
7	smrmiss	3	5.714025	11.32155	63.9422	18.25565
7	smrmiss	3	9.600225	8.0791	35.25865	47.06205
8	smrmiss	3	66.0195	18.042075	1.72705	14.21135
8	smrmiss	3	71.0763	14.913075	1.11225	12.886325
8	smrmiss	3	70.122175	11.75955	1.61385	16.50435
