subjid	cond	smritr	ssvepitr
1	stand	13.6594	36.7764
1	stand	14.5783	39.8138
1	stand	22.2197	44.5945
2	stand	12.8838	9.5864
2	stand	8.4722	9.9669
2	stand	4.6944	12.1998
3	stand	11.4864	15.4272
3	stand	1.9712	20.4043
3	stand	0.9749	13.4802
4	stand	5.1229	8.8567
4	stand	4.8098	38.7784
4	stand	6.6241	14.4261
5	stand	12.8141	71.716
5	stand	9.3179	70.4736
5	stand	4.5136	79.0373
6	stand	14.6816	21.0205
6	stand	5.2539	8.7003
6	stand	10.2683	14.5152
7	stand	36.0143	16.9772
7	stand	17.1313	2.6111
7	stand	14.457	9.7713
8	stand	2.5268	34.296
8	stand	2.5435	39.598
8	stand	2.8993	46.2691
9	stand	20.9168	18.3823
9	stand	13.6596	17.8021
9	stand	21.9648	19.8876
1	multi	12.5417	47.4492
1	multi	15.448	51.8423
1	multi	17.8369	47.3304
2	multi	27.98	22.1142
2	multi	13.5031	28.0634
2	multi	8.6403	20.1433
3	multi	2.0343	21.5379
3	multi	1.0448	22.4415
3	multi	2.9937	13.4029
4	multi	2.0226	3.7488
4	multi	1.8492	15.1696
4	multi	7.5895	18.0559
5	multi	2.3194	59.1652
5	multi	1.8414	70.5632
5	multi	0.8609	57.8963
6	multi	34.6479	21.8492
6	multi	13.2954	15.4931
6	multi	7.9807	15.9729
7	multi	21.5979	8.8014
7	multi	12.2151	1.7224
7	multi	18.951	3.392
8	multi	2.8017	39.6252
8	multi	5.2832	36.5454
8	multi	1.5281	44.3559
9	multi	16.3404	11.4154
9	multi	16.9422	10.8457
9	multi	20.5716	9.8536
