subjid	cond	pair	itrtot
1	smronly	1	13.6594
1	smronly	1	14.5783
1	smronly	1	22.2197
2	smronly	1	12.8838
2	smronly	1	8.4722
2	smronly	1	4.6944
3	smronly	1	11.4864
3	smronly	1	1.9712
3	smronly	1	0.9749
4	smronly	1	5.1229
4	smronly	1	4.8098
4	smronly	1	6.6241
5	smronly	1	12.8141
5	smronly	1	9.3179
5	smronly	1	4.5136
6	smronly	1	14.6816
6	smronly	1	5.2539
6	smronly	1	10.2683
7	smronly	1	36.0143
7	smronly	1	17.1313
7	smronly	1	14.457
8	smronly	1	2.5268
8	smronly	1	2.5435
8	smronly	1	2.8993
9	smronly	1	20.9168
9	smronly	1	13.6596
9	smronly	1	21.9648
1	ssveponly	2	36.7764
1	ssveponly	2	39.8138
1	ssveponly	2	44.5945
2	ssveponly	2	9.5864
2	ssveponly	2	9.9669
2	ssveponly	2	12.1998
3	ssveponly	2	15.4272
3	ssveponly	2	20.4043
3	ssveponly	2	13.4802
4	ssveponly	2	8.8567
4	ssveponly	2	38.7784
4	ssveponly	2	14.4261
5	ssveponly	2	71.716
5	ssveponly	2	70.4736
5	ssveponly	2	79.0373
6	ssveponly	2	21.0205
6	ssveponly	2	8.7003
6	ssveponly	2	14.5152
7	ssveponly	2	16.9772
7	ssveponly	2	2.6111
7	ssveponly	2	9.7713
8	ssveponly	2	34.296
8	ssveponly	2	39.598
8	ssveponly	2	46.2691
9	ssveponly	2	18.3823
9	ssveponly	2	17.8021
9	ssveponly	2	19.8876
1	multi	3	59.9909
1	multi	3	67.2903
1	multi	3	65.1673
2	multi	3	50.0942
2	multi	3	41.5665
2	multi	3	28.7836
3	multi	3	23.5722
3	multi	3	23.4863
3	multi	3	16.3966
4	multi	3	5.7714
4	multi	3	17.0188
4	multi	3	25.6454
5	multi	3	61.4846
5	multi	3	72.4046
5	multi	3	58.7572
6	multi	3	56.4971
6	multi	3	28.7885
6	multi	3	23.9536
7	multi	3	30.3993
7	multi	3	13.9375
7	multi	3	22.343
8	multi	3	42.4269
8	multi	3	41.8286
8	multi	3	45.884
9	multi	3	27.7558
9	multi	3	27.7879
9	multi	3	30.4252
