subjid	cond	LRC3	LRC4	UDC3	UDC4
1	stand	0.3719	0.4696	0.627	0.4629
1	stand	0.048	0.2505	0.2403	0.4078
1	stand	0.3943	0.6763	0.4673	0.5085
2	stand	0.0135	0.0003	0.222	0.1848
2	stand	0.0203	0.0283	0.3151	0.3341
2	stand	0.0726	0.0748	0.0016	0.0017
3	stand	0.1876	0.1006	0.0024	0.0005
3	stand	0.1765	0.1535	0.3191	0.3232
3	stand	0.1446	0.0441	0.1957	0.1923
4	stand	0.08	0.4119	0.2401	0.511
4	stand	0.2244	0.4128	0.2097	0.8322
4	stand	0.1255	0.2166	0.2544	0.6212
5	stand	0.4251	0.2486	0.3405	0.5128
5	stand	0.3437	0.2236	0.4146	0.2636
5	stand	0.4078	0.0845	0.2767	0.4013
6	stand	0.0058	0.0127	0.152	0.5239
6	stand	0.0683	0.0701	0.0929	0.1809
6	stand	0.2148	0.0013	0.2855	0.6853
7	stand	0.2619	0.2501	0.5241	0.4824
7	stand	0.1564	0.6081	0.3014	0.592
7	stand	0.2098	0.4695	0.2642	0.6527
8	stand	0.0028	0.0359	0.0055	0.0507
8	stand	0.128	0.2598	0.0919	0.0769
8	stand	0.1203	0.0005	0.1412	0.122
9	stand	0.3072	0.5205	0.2228	0.4585
9	stand	0.1108	0.5601	0.1333	0.5537
9	stand	0.1477	0.4285	0.2696	0.3032
1	mutli	0.4383	0.6188	0.6107	0.389
1	mutli	0.052	0.0933	0.0008	0.0028
1	mutli	0.5208	0.6237	0.4664	0.7629
2	mutli	0.036	0.0001	0.0881	0.2674
2	mutli	0.0106	0.0001	0.1165	0.1987
2	mutli	0.0553	0.0062	0.0947	0.4771
3	mutli	0.0353	0.0902	0.2646	0.4247
3	mutli	0.7337	0.1939	0.0998	0.166
3	mutli	0.0283	0.0593	0.1844	0.2432
4	mutli	0.0702	0.0938	0.0004	0.3119
4	mutli	0.3045	0.1681	0.0051	0.136
4	mutli	0.0217	0.3974	0.1276	0.2744
5	mutli	0.6842	0.1725	0.2128	0.3096
5	mutli	0.5893	0.0968	0.2398	0.1714
5	mutli	0.1641	0.003	0.0661	0.0042
6	mutli	0.0759	0.1707	0.0688	0.0871
6	mutli	0.0084	0.0058	0.0877	0.3485
6	mutli	0.008	0.1698	0.0007	0.1655
7	mutli	0.6065	0.4258	0.7313	0.6238
7	mutli	0.2686	0.4752	0.5138	0.5353
7	mutli	0.4343	0.4207	0.4548	0.5768
8	mutli	0.0163	0.0807	0.0281	0.4694
8	mutli	0.0092	0.1804	0.0769	0.2168
8	mutli	0.0726	0.0825	0.1007	0.1308
9	mutli	0.5011	0.3565	0.2431	0.3325
9	mutli	0.4775	0.5407	0.4105	0.4943
9	mutli	0.1899	0.5928	0.1875	0.301
