subjid	cond	seven	eightfive	tenfive	twelvefive
1	mutli	0.51941	0.675793333	0.496603333	0.30669
1	mutli	0.267813333	0.48479	0.298756667	0.23284
1	mutli	0.284606667	0.387873333	0.215373333	0.21948
2	mutli	0.563383333	0.731076667	0.58104	0.096666667
2	mutli	0.629713333	0.848256667	0.724216667	0.13915
2	mutli	0.552473333	0.638853333	0.515953333	0.117613333
3	mutli	0.649586667	0.84138	0.546166667	0.16611
3	mutli	0.597056667	0.79049	0.448376667	0.18501
3	mutli	0.571816667	0.565756667	0.318203333	0.14281
4	mutli	0.571816667	0.565756667	0.318203333	0.14281
4	mutli	0.30979	0.266666667	0.257773333	0.154626667
4	mutli	0.122996667	0.287286667	0.19247	0.10607
5	mutli	0.117843333	0.340533333	0.262086667	0.301523333
5	mutli	0.13775	0.268693333	0.32385	0.300636667
5	mutli	0.11086	0.33785	0.517906667	0.417473333
6	mutli	0.382966667	0.49506	0.28142	0.22906
6	mutli	0.357103333	0.410393333	0.300113333	0.21681
6	mutli	0.284696667	0.403296667	0.346256667	0.195683333
7	mutli	0.182046667	0.239286667	0.36696	0.25894
7	mutli	0.224853333	0.236646667	0.342573333	0.26576
7	mutli	0.16759	0.23005	0.31869	0.172796667
8	mutli	0.576343333	1.416133333	1.130966667	0.431306667
8	mutli	0.597183333	1.507633333	1.493233333	0.357676667
8	mutli	0.42998	0.942163333	1.219133333	0.37547
9	mutli	0.164313333	0.14034	0.10871	0.114073333
9	mutli	0.196046667	0.14045	0.1179	0.098424667
9	mutli	0.187793333	0.159093333	0.17149	0.18807
1	stand	0.21898	0.430693333	0.28747	0.222486667
1	stand	0.28502	0.411393333	0.350443333	0.220693333
1	stand	0.231376667	0.405396667	0.231906667	0.211126667
2	stand	0.40401	0.60754	0.299503333	0.100017
2	stand	0.441103333	0.532686667	0.331093333	0.137443333
2	stand	0.376433333	0.471436667	0.336163333	0.100757
3	stand	0.471913333	0.686923333	0.345943333	0.14632
3	stand	0.58329	0.82148	0.526766667	0.188873333
3	stand	0.506693333	0.773903333	0.467226667	0.17075
4	stand	0.26298	0.277976667	0.335873333	0.184993333
4	stand	0.2501	0.234453333	0.24726	0.126383333
4	stand	0.128336667	0.16663	0.12565	0.083079333
5	stand	0.13224	0.416986667	0.32253	0.35178
5	stand	0.137593333	0.32456	0.334833333	0.345936667
5	stand	0.156546667	0.37414	0.465536667	0.414613333
6	stand	0.331603333	0.435566667	0.27782	0.19816
6	stand	0.26009	0.43877	0.41319	0.192376667
6	stand	0.276553333	0.38705	0.344856667	0.215503333
7	stand	0.230136667	0.342303333	0.445453333	0.32371
7	stand	0.22918	0.287643333	0.416513333	0.272516667
7	stand	0.224996667	0.29974	0.408933333	0.30812
8	stand	0.546266667	1.4424	1.302366667	0.4508
8	stand	0.569246667	1.015823333	0.885573333	0.355043333
8	stand	0.455173333	1.01034	0.79226	0.342563333
9	stand	0.164163333	0.138703333	0.121816667	0.109723333
9	stand	0.17612	0.154213333	0.112636667	0.091399333
9	stand	0.164503333	0.16947	0.140783333	0.143746667
