subjid	cond	pair	hitrate	missrate	ssvepacc
1	smrhit	1	0.711111111	0.333333333	0.66729798
1	smrhit	1	0.755319149	0.265957447	0.731025225
1	smrhit	1	0.737373737	0.414141414	0.656125992
2	smrhit	1	0.472222222	0.652777778	0.408049242
2	smrhit	1	0.620253165	0.506329114	0.55984016
2	smrhit	1	0.616666667	0.316666667	0.66889881
3	smrhit	1	0.25	0.583333333	0.238095238
3	smrhit	1	0.457142857	0.542857143	0.459775641
3	smrhit	1	0.315789474	0.684210526	0.244791667
4	smrhit	1	0.212765957	0.489361702	0.359027778
4	smrhit	1	0.317073171	0.585365854	0.35
4	smrhit	1	0.581818182	0.490909091	0.559107906
5	smrhit	1	0.264150943	0.660377358	0.301388889
5	smrhit	1	0.519230769	0.442307692	0.547668651
5	smrhit	1	0.512820513	0.512820513	0.529761905
6	smrhit	1	0.6	0.573333333	0.501835317
6	smrhit	1	0.448275862	0.551724138	0.426388889
6	smrhit	1	0.516129032	0.483870968	0.529166667
7	smrhit	1	0.174418605	0.709302326	0.178643579
7	smrhit	1	0.164556962	0.734177215	0.166199946
7	smrhit	1	0.05	0.775	0.041294643
8	smrhit	1	0.604651163	0.395348837	0.503314394
8	smrhit	1	0.777777778	0.492063492	0.592929293
8	smrhit	1	0.636363636	0.318181818	0.695535714
9	smrhit	1	0.384615385	0.576923077	0.389583333
9	smrhit	1	0.258823529	0.588235294	0.300347222
9	smrhit	1	0.31372549	0.588235294	0.348588564
1	smrabort	2	1.909090909	1	0.7
1	smrabort	2	1.5	0.9375	0.654166667
1	smrabort	2	0.676470588	0.382352941	0.642640693
2	smrabort	2	1.571428571	0.964285714	0.635369318
2	smrabort	2	1.53125	0.9375	0.621633616
2	smrabort	2	1.318181818	1.295454545	0.503620655
3	smrabort	2	1.535714286	1.142857143	0.643469127
3	smrabort	2	1.279069767	1.23255814	0.512989625
3	smrabort	2	0.430769231	0.584615385	0.453265831
4	smrabort	2	0.733333333	1.6	0.379267434
4	smrabort	2	1.0625	1.4375	0.428170788
4	smrabort	2	1.346938776	1.020408163	0.563198248
5	smrabort	2	1.666666667	0.555555556	0.866666667
5	smrabort	2	1.4	0.6	0.722222222
5	smrabort	2	2	0.666666667	0.79
6	smrabort	2	1.5	1.28125	0.579241071
6	smrabort	2	1.157894737	1.210526316	0.494345238
6	smrabort	2	1.375	1.375	0.476070487
7	smrabort	2	0.421052632	0.894736842	0.302721088
7	smrabort	2	0.608695652	1.391304348	0.373321123
7	smrabort	2	0.576923077	1.653846154	0.245181406
8	smrabort	2	1.96	1.04	0.669683825
8	smrabort	2	1.703703704	1.074074074	0.649715909
8	smrabort	2	2.04	1	0.645436508
9	smrabort	2	0.897435897	1.128205128	0.448477118
9	smrabort	2	1.25	0.9	0.569940476
9	smrabort	2	1.176470588	1.235294118	0.523809524
1	smrmiss	3	0.5	0.444444444	0.625
1	smrmiss	3	0.676470588	0.382352941	0.642640693
1	smrmiss	3	0.737373737	0.414141414	0.656125992
2	smrmiss	3	0.704545455	0.340909091	0.689136905
2	smrmiss	3	0.46875	0.40625	0.604761905
2	smrmiss	3	0.540540541	0.567567568	0.474621212
3	smrmiss	3	0.351351351	0.554054054	0.397778808
3	smrmiss	3	0.291139241	0.594936709	0.329464286
3	smrmiss	3	0.315789474	0.684210526	0.244791667
4	smrmiss	3	0.257575758	0.696969697	0.259882479
4	smrmiss	3	0.402777778	0.541666667	0.442207792
4	smrmiss	3	0.380952381	0.69047619	0.327083333
5	smrmiss	3	0.604651163	0.337209302	0.63235237
5	smrmiss	3	0.544444444	0.411111111	0.596357115
5	smrmiss	3	0.442105263	0.421052632	0.51947601
6	smrmiss	3	0.621621622	0.324324324	0.693452381
6	smrmiss	3	0.342105263	0.631578947	0.284970238
6	smrmiss	3	0.339285714	0.482142857	0.477083333
7	smrmiss	3	0.333333333	0.555555556	0.395238095
7	smrmiss	3	0.2	0.6	0.270833333
7	smrmiss	3	0.15	0.6	0.223214286
8	smrmiss	3	0.641025641	0.423076923	0.574305556
8	smrmiss	3	0.636363636	0.472727273	0.5375
8	smrmiss	3	0.658227848	0.341772152	0.644823926
9	smrmiss	3	0.53125	0.625	0.538492063
9	smrmiss	3	0.416666667	0.777777778	0.324404762
9	smrmiss	3	0.266666667	0.6	0.319047619
